,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Namatanai,PG,-3.67,83.55,75,90,8.46
1,Rikitea,PF,-23.12,77.45,69,71,7.36
2,Qaanaaq,GL,77.48,18.7,86,100,15.77
3,Kinshasa,CD,-4.32,77.0,83,100,3.36
4,Severo-Kuril'sk,RU,50.68,33.4,92,81,17.72
5,Kenai,US,60.55,46.67,87,90,10.29
6,Saint-Pierre,RE,-21.34,69.03,78,14,6.93
7,Barrow,US,71.29,8.6,71,1,12.75
8,Bom Jesus,BR,-9.07,73.17,82,99,0.85
9,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
10,Punta Arenas,CL,-53.15,46.2,65,40,17.22
11,Vanavara,RU,60.34,28.67,82,0,5.12
12,Ushuaia,AR,-54.8,48.2,57,40,8.05
13,Rikitea,PF,-23.12,77.45,69,71,7.36
14,Lakatoro,VU,-16.1,86.0,74,40,4.7
15,Avarua,CK,-21.21,82.4,69,79,6.93
16,Boyolangu,ID,-8.12,86.02,65,90,0.81
17,Ponta do Sol,PT,32.67,57.0,63,9,4.54
18,Hannibal,US,39.71,54.81,35,1,8.05
19,Abu Samrah,SY,35.3,60.03,55,40,0.81
20,Isla Mujeres,MX,21.23,82.2,78,75,11.41
21,San Francisco,US,37.77,57.76,55,20,17.22
22,Busselton,AU,-33.65,62.58,83,80,22.12
23,Dwārāhāt,IN,29.78,72.84,22,10,0.78
24,Sørland,NO,67.67,40.84,89,100,8.9
25,Atuona,PF,-9.8,82.17,71,94,17.22
26,Mataura,NZ,-46.19,55.0,66,64,13.0
27,Busselton,AU,-33.65,62.58,83,80,22.12
28,Punta Arenas,CL,-53.15,46.2,65,40,17.22
29,Fallon,US,39.47,65.68,22,90,14.99
30,Dakar,SN,14.69,67.26,82,37,13.87
31,Cape Coast,GH,5.11,80.49,84,71,8.14
32,Puerto Carreño,CO,6.19,79.25,77,100,9.15
33,Saint-Philippe,RE,-21.36,68.04,78,47,6.93
34,Vaini,TO,-21.2,82.4,74,40,9.17
35,Rikitea,PF,-23.12,77.45,69,71,7.36
36,Tura,IN,25.52,73.22,77,81,6.29
37,Rikitea,PF,-23.12,77.45,69,71,7.36
38,Gogrial,SS,8.53,78.85,27,90,4.29
39,Rikitea,PF,-23.12,77.45,69,71,7.36
40,Hofn,IS,64.25,45.59,87,100,13.91
41,Gamba,GA,-2.65,78.03,87,90,1.21
42,Tiksi,RU,71.69,15.01,85,95,4.59
43,Castro,BR,-24.79,54.43,71,31,5.95
44,Nome,US,64.5,34.34,100,90,9.17
45,Puerto Ayora,EC,-0.74,80.87,74,75,9.17
